pk,name,category,direct_parents
10000,Dunmor,other,"1000,2219"
10001,Lewisburg,other,1000
10002,Adairville,other,1000
10003,Russellville,other,1000
10004,Auburn,other,1000
10005,New York,other,"1001,2042,2043,1466,2989"
10006,Harrison,other,1002
10007,Secaucus,other,1002
10008,Union City,other,1002
10009,West New York,other,1002
10010,Kearny,other,1002
10011,Bayonne,other,1002
10012,East Newark,other,1002
10013,Guttenberg,other,1002
10014,Hoboken,other,1002
10015,Jersey City,other,1002
10016,Milford,other,1003
10017,Lambertville,other,1003
10018,Clinton,other,1003
10019,High Bridge,other,1003
10020,Flemington,other,1003
10021,Pottersville,other,"1003,1477"
10022,Annandale,other,1003
10023,Glen Gardner,other,1003
10024,Frenchtown,other,1003
10025,Lebanon,other,1003
10026,Oldwick,other,1003
10027,White House Station,other,1003
10028,Neshanic Station,other,"1003,1477"
10029,Califon,other,1003
10030,Three Bridges,other,1003
10031,Stockton,other,1003
10032,Ringoes,other,1003
10033,Bloomsbury,other,1003
10034,Hampton,other,1003
10035,Stearns,other,1004
10036,Pine Knot,other,1004
10037,Whitley City,other,1004
10038,Pikeville,other,1005
10039,Freeburn,other,1005
10040,Belfry,other,1005
10041,Coal Run Village,other,1005
10042,Virgie,other,1005
10043,Phelps,other,1005
10044,McCarr,other,1005
10045,South Williamson,other,1005
10046,Elkhorn City,other,1005
10047,Blaine,other,1006
10048,Louisa,other,1006
10049,South Dayton,other,1007
10050,Portville,other,1007
10051,Lime Lake,other,1007
10052,Franklinville,other,1007
10053,Limestone,other,1007
10054,Randolph,other,1007
10055,Perrysburg,other,1007
10056,East Randolph,other,1007
10057,Yorkshire,other,1007
10058,Delevan,other,1007
10059,Allegany,other,1007
10060,Cattaraugus,other,1007
10061,Little Valley,other,1007
10062,Machias,other,1007
10063,Salamanca,other,1007
10064,Ellicottville,other,1007
10065,Olean,other,1007
10066,Gowanda,other,"2322,1007"
10067,Weston Mills,other,1007
10068,West Valley,other,1007
10069,St. Bonaventure,other,1007
10070,Montegut,other,1008
10071,Houma,other,1008
10072,Bayou Cane,other,1008
10073,Gray,other,1008
10074,Bourg,other,1008
10075,Bayou Blue,other,"1008,1857"
10076,Chauvin,other,1008
10077,Schriever,other,1008
10078,Dulac,other,1008
10079,Presquille,other,1008
10080,South Mansfield,other,1009
10081,Grand Cane,other,1009
10082,Gloster,other,1009
10083,Frierson,other,1009
10084,Stanley,other,1009
10085,Longstreet,other,1009
10086,Logansport,other,1009
10087,Keachi,other,1009
10088,Stonewall,other,1009
10089,Mansfield,other,1009
10090,Live Oak,other,1010
10091,Branford,other,1010
10092,New Orleans,other,1011
10093,Varnado,other,1012
10094,Rio,other,1012
10095,Angie,other,1012
10096,Franklinton,other,1012
10097,Bogalusa,other,1012
10098,Mound,other,1013
10099,Tallulah,other,1013
10100,Richmond,other,1013
10101,Delta,other,1013
10102,Hampton,other,1014
10103,Brooker,other,1014
10104,Starke,other,1014
10105,Lawtey,other,1014
10106,Lake Providence,other,1015
10107,Malden-on-Hudson,other,1016
10108,East Kingston,other,1016
10109,Lincoln Park,other,1016
10110,Phoenicia,other,1016
10111,High Falls,other,1016
10112,Cragsmoor,other,1016
10113,Stone Ridge,other,1016
10114,Shokan,other,1016
10115,Walker Valley,other,1016
10116,Rosendale,other,1016
10117,Zena,other,1016
10118,Port Ewen,other,1016
10119,Tillson,other,1016
10120,Wallkill,other,1016
10121,Ellenville,other,1016
10122,Kingston,other,1016
10123,Ruby,other,1016
10124,Saugerties South,other,1016
10125,Accord,other,1016
10126,Glasco,other,1016
10127,Highland,other,1016
10128,Hurley,other,1016
10129,Lake Katrine,other,1016
10130,Marlboro,other,1016
10131,Milton,other,"1016,1478"
10132,Pine Hill,other,1016
10133,Clintondale,other,1016
10134,Kerhonkson,other,1016
10135,Napanoch,other,1016
10136,Plattekill,other,1016
10137,West Hurley,other,1016
10138,Watchtower,other,1016
10139,Rifton,other,1016
10140,Saugerties,other,1016
10141,Gardiner,other,1016
10142,Hillside,other,1016
10143,Woodstock,other,1016
10144,New Paltz,other,1016
10145,Wilson,other,1017
10146,Jackson,other,1017
10147,Norwood,other,1017
10148,Clinton,other,1017
10149,Slaughter,other,1017
10150,Upper Kalskag,other,1018
10151,Chuathbaluk,other,1018
10152,Kipnuk,other,1018
10153,Nunapitchuk,other,1018
10154,Aniak,other,1018
10155,Eek,other,1018
10156,Quinhagak,other,1018
10157,Atmautluak,other,1018
10158,Kasigluk,other,1018
10159,Akiak,other,1018
10160,Chefornak,other,1018
10161,Lower Kalskag,other,1018
10162,Tuntutuliak,other,1018
10163,Kongiganak,other,1018
10164,Newtok,other,1018
10165,Bethel,other,1018
10166,Napaskiak,other,1018
10167,Nightmute,other,1018
10168,Toksook Bay,other,1018
10169,Akiachak,other,1018
10170,Crooked Creek,other,1018
10171,Kwigillingok,other,1018
10172,Lime Village,other,1018
10173,Oscarville,other,1018
10174,Stony River,other,1018
10175,Tununak,other,1018
10176,Mertarvik,other,1018
10177,Kwethluk,other,1018
10178,Platinum,other,1018
10179,Sleetmute,other,1018
10180,Napakiak,other,1018
10181,Red Devil,other,1018
10182,Mekoryuk,other,1018
10183,Tuluksak,other,1018
10184,Goodnews Bay,other,1018
10185,Elim,other,1019
10186,White Mountain,other,1019
10187,Brevig Mission,other,1019
10188,Teller,other,1019
10189,Shishmaref,other,1019
10190,Unalakleet,other,1019
10191,Golovin,other,1019
10192,Wales,other,1019
10193,Savoonga,other,1019
10194,Koyuk,other,1019
10195,Stebbins,other,1019
10196,Port Clarence,other,1019
10197,Diomede,other,1019
10198,Nome,other,1019
10199,St. Michael,other,1019
10200,Gambell,other,1019
10201,Shaktoolik,other,1019
10202,Galestown,other,1020
10203,Algonquin,other,1020
10204,Eldorado,other,1020
10205,Church Creek,other,1020
10206,Secretary,other,1020
10207,Vienna,other,1020
10208,Brookview,other,1020
10209,Fishing Creek,other,1020
10210,Cambridge,other,1020
10211,Hurlock,other,1020
10212,Taylors Island,other,1020
10213,East New Market,other,1020
10214,Madison,other,1020
10215,Elliott,other,1020
10216,Bel Air,other,"2957,1021"
10217,Carlos,other,1021
10218,Corriganville,other,1021
10219,Lonaconing,other,1021
10220,Barrelville,other,1021
10221,Gilmore,other,1021
10222,Clarysville,other,1021
10223,Shaft,other,1021
10224,Franklin,other,1021
10225,Danville,other,1021
10226,Vale Summit,other,1021
10227,Midlothian,other,1021
10228,Bier,other,1021
10229,Luke,other,1021
10230,Pleasant Grove,other,1021
10231,Nikep,other,1021
10232,Little Orleans,other,1021
10233,Mount Savage,other,1021
10234,Woodland,other,1021
10235,Midland,other,1021
10236,Westernport,other,1021
10237,Cresaptown,other,1021
10238,La Vale,other,1021
10239,Flintstone,other,1021
