pk,name,category,direct_parents
1000,Logan,county,21
1001,Queens,county,36
1002,Hudson,county,34
1003,Hunterdon,county,34
1004,McCreary,county,21
1005,Pike,county,21
1006,Lawrence,county,21
1007,Cattaraugus,county,36
1008,Terrebonne,parish,22
1009,De Soto,parish,22
1010,Suwannee,county,12
1011,Orleans,parish,22
1012,Washington,parish,22
1013,Madison,parish,22
1014,Bradford,county,12
1015,East Carroll,parish,22
1016,Ulster,county,36
1017,East Feliciana,parish,22
1018,Bethel,census area,2
1019,Nome,census area,2
1020,Dorchester,county,24
1021,Allegany,county,24
1022,Cecil,county,24
1023,Carroll,county,24
1024,Kent,county,24
1025,Franklin,county,25
1026,Talladega,county,1
1027,Pike,county,1
1028,Macomb,county,26
1029,Charlevoix,county,26
1030,St. Clair,county,1
1031,Greene,county,1
1032,Conecuh,county,1
1033,Iron,county,26
1034,Big Stone,county,27
1035,Clay,county,27
1036,Polk,county,27
1037,Lake of the Woods,county,27
1038,Lake,county,27
1039,Yellow Medicine,county,27
1040,Claiborne,county,28
1041,Benton,county,28
1042,Lincoln,county,29
1043,Ravalli,county,30
1044,Roosevelt,county,30
1045,Blaine,county,30
1046,Franklin,county,31
1047,Keya Paha,county,31
1048,White Pine,county,32
1049,Coos,county,33
1050,Salem,county,34
1051,Grant,county,35
1052,Colfax,county,35
1053,Taos,county,35
1054,Rio Arriba,county,35
1055,Brunswick,county,37
1056,Mecklenburg,county,37
1057,Pamlico,county,37
1058,Craven,county,37
1059,Pender,county,37
1060,Camden,county,37
1061,Currituck,county,37
1062,Mitchell,county,37
1063,Transylvania,county,37
1064,Sioux,county,38
1065,Williams,county,38
1066,McCurtain,county,40
1067,Jackson,county,40
1068,Osage,county,40
1069,Clatsop,county,41
1070,Mobile,county,1
1071,Escambia,county,1
1072,Choctaw,county,1
1073,Russell,county,1
1074,Pickens,county,1
1075,DeKalb,county,1
1076,La Paz,county,4
1077,Miller,county,5
1078,Phillips,county,5
1079,Desha,county,5
1080,Imperial,county,6
1081,Santa Cruz,county,6
1082,Sonoma,county,6
1083,Mendocino,county,6
1084,Humboldt,county,6
1085,Nevada,county,6
1086,Costilla,county,8
1087,Middlesex,county,9
1088,New Castle,county,10
1089,Kent,county,10
1090,Franklin,county,12
1091,Taylor,county,12
1092,Hillsborough,county,12
1093,St. Johns,county,12
1094,Will,county,17
1095,Escambia,county,12
1096,Wakulla,county,12
1097,Madison,county,12
1098,Duval,county,12
1099,Glynn,county,13
1100,Camden,county,13
1101,Haralson,county,13
1102,Richmond,county,13
1103,Mason,county,17
1104,Idaho,county,16
1105,Shoshone,county,16
1106,Douglas,county,17
1107,Lake,county,18
1108,Lee,county,19
1109,Clinton,county,19
1110,Mitchell,county,19
1111,Atlantic,county,34
1112,Johnson,county,20
1113,Wilkes,county,37
1114,Edgecombe,county,37
1115,Stanly,county,37
